Compound_Name,SMILES,Molecular_Weight,AlogP98,PSA_2D,HBD,HBA,Rotatable_Bonds,Aromatic_Rings,Absorption_Level,Absorption_Description,Absorption_T2_2D,Solubility_Level,Solubility_Description,LogSw,BBB_Level,LogBB,CYP2D6_Score,CYP2D6_Inhibitor,Hepatotoxic_Score,Hepatotoxic,PPB_Score,High_PPB,Lipinski_Violations,Lipinski_Compliant
ZINC001237078403,O=C1C([H])([H])C([H])([H])[N+]([H])(C([H])([H])C1([H])[H])C([H])([H])c2c(c([H])c([H])c(c2Cl)Cl)O[H],275.16,1.45,41.74,2,2,2,1,1,Moderate,6.5584,3,Good,-2.991,Medium,-0.286,0.2733,Yes,-5.0,No,-2.7082,No,0,True
ZINC001237078403,O=C1C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])C([H])([H])c2c(c([H])c([H])c(c2Cl)Cl)O[H],274.15,2.86,40.54,1,3,2,1,1,Moderate,6.5615,3,Good,-3.958,Medium,-0.053,0.4416,Yes,-5.0,No,-2.2721,No,0,True
ZINC001237123116,O=C1C([H])([H])C([H])([H])C([H])([H])[N+]([H])(C([H])([H])C1([H])[H])C([H])([H])c2c(c([H])c([H])c(c2Cl)F)O[H],272.73,1.32,41.74,2,2,2,1,1,Moderate,6.5162,3,Good,-2.898,Medium,-0.305,0.2585,Yes,-5.0,No,-2.7479,No,0,True
ZINC001237123116,O=C1C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])C([H])([H])c2c(c([H])c([H])c(c2Cl)F)O[H],271.72,2.74,40.54,1,3,2,1,1,Moderate,6.5193,3,Good,-3.865,Medium,-0.072,0.4268,Yes,-5.0,No,-2.3118,No,0,True
ZINC001237123116,O=C1C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])C([H])([H])c2c(c([H])c([H])c(c2Cl)F)[O-],270.71,2.11,43.37,0,3,2,1,1,Moderate,6.2107,3,Good,-3.56,Medium,-0.21,0.3782,Yes,-5.0,No,-2.5307,No,0,True
ZINC001237125464,O=C1C([H])([H])C([H])([H])[N+]([H])(C([H])([H])C1(F)F)C([H])([H])c2c(c([H])c([H])c(c2Cl)F)O[H],294.68,1.18,41.74,2,2,2,1,1,Moderate,6.5167,3,Good,-2.943,Medium,-0.329,0.2659,Yes,-5.0,No,-2.7694,No,0,True
ZINC001237125464,O=C1C([H])([H])C([H])([H])[N+]([H])(C([H])([H])C1(F)F)C([H])([H])c2c(c([H])c([H])c(c2Cl)F)[O-],293.67,0.55,44.57,1,2,2,1,1,Moderate,6.2081,3,Good,-2.639,Medium,-0.467,0.2174,Yes,-5.0,No,-2.9883,No,0,True
ZINC001237127687,C([H])([H])([H])[N+]([H])(C([H])([H])c1c(c([H])c([H])c(c1Cl)F)O[H])C([H])([H])c2c([H])c([H])nc([H])n2,282.73,1.19,50.45,2,3,4,2,1,Moderate,7.8673,3,Good,-2.89,Medium,-0.455,0.3426,Yes,-5.0,No,-2.8649,No,0,True
ZINC001237127687,C([H])([H])([H])N(C([H])([H])c1c(c([H])c([H])c(c1Cl)F)O[H])C([H])([H])c2c([H])c([H])nc([H])n2,281.72,2.61,49.25,1,4,4,2,1,Moderate,7.8704,3,Good,-3.857,Medium,-0.222,0.5109,Yes,-5.0,No,-2.4288,No,0,True
ZINC001237127687,C([H])([H])([H])N(C([H])([H])c1c(c([H])c([H])c(c1Cl)F)[O-])C([H])([H])c2c([H])c([H])nc([H])n2,280.71,1.97,52.08,0,4,4,2,1,Moderate,7.5618,3,Good,-3.552,Medium,-0.36,0.4623,Yes,-5.0,No,-2.6477,No,0,True
ZINC001237624215,C([H])([H])([H])[N+]([H])(C([H])([H])c1c([H])c(c([H])c(c1O[H])F)Cl)C([H])([H])c2c([H])nc([H])nc2[H],282.73,1.19,50.45,2,3,4,2,1,Moderate,7.8673,3,Good,-2.89,Medium,-0.455,0.3426,Yes,-5.0,No,-2.8649,No,0,True
ZINC001237624215,C([H])([H])([H])N(C([H])([H])c1c([H])c(c([H])c(c1O[H])F)Cl)C([H])([H])c2c([H])nc([H])nc2[H],281.72,2.61,49.25,1,4,4,2,1,Moderate,7.8704,3,Good,-3.857,Medium,-0.222,0.5109,Yes,-5.0,No,-2.4288,No,0,True
