Name,Canonical_SMILES,SMILES
ZINC001237078403,Oc1ccc(Cl)c(Cl)c1C[NH+]2CCC(=O)CC2,O=C1C([H])([H])C([H])([H])[N+]([H])(C([H])([H])C1([H])[H])C([H])([H])c2c(c([H])c([H])c(c2Cl)Cl)O[H]
ZINC001237078403,Oc1ccc(Cl)c(Cl)c1CN2CCC(=O)CC2,O=C1C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])C([H])([H])c2c(c([H])c([H])c(c2Cl)Cl)O[H]
ZINC001237123116,Oc1ccc(F)c(Cl)c1C[NH+]2CCCC(=O)CC2,O=C1C([H])([H])C([H])([H])C([H])([H])[N+]([H])(C([H])([H])C1([H])[H])C([H])([H])c2c(c([H])c([H])c(c2Cl)F)O[H]
ZINC001237123116,Oc1ccc(F)c(Cl)c1CN2CCCC(=O)CC2,O=C1C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])C([H])([H])c2c(c([H])c([H])c(c2Cl)F)O[H]
ZINC001237123116,[O-]c1ccc(F)c(Cl)c1CN2CCCC(=O)CC2,O=C1C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])C([H])([H])c2c(c([H])c([H])c(c2Cl)F)[O-]
ZINC001237125464,Oc1ccc(F)c(Cl)c1C[NH+]2CCC(=O)C(F)(F)C2,O=C1C([H])([H])C([H])([H])[N+]([H])(C([H])([H])C1(F)F)C([H])([H])c2c(c([H])c([H])c(c2Cl)F)O[H]
ZINC001237125464,[O-]c1ccc(F)c(Cl)c1C[NH+]2CCC(=O)C(F)(F)C2,O=C1C([H])([H])C([H])([H])[N+]([H])(C([H])([H])C1(F)F)C([H])([H])c2c(c([H])c([H])c(c2Cl)F)[O-]
ZINC001237127687,C[NH+](Cc1ccncn1)Cc2c(O)ccc(F)c2Cl,C([H])([H])([H])[N+]([H])(C([H])([H])c1c(c([H])c([H])c(c1Cl)F)O[H])C([H])([H])c2c([H])c([H])nc([H])n2
ZINC001237127687,CN(Cc1ccncn1)Cc2c(O)ccc(F)c2Cl,C([H])([H])([H])N(C([H])([H])c1c(c([H])c([H])c(c1Cl)F)O[H])C([H])([H])c2c([H])c([H])nc([H])n2
ZINC001237127687,CN(Cc1ccncn1)Cc2c([O-])ccc(F)c2Cl,C([H])([H])([H])N(C([H])([H])c1c(c([H])c([H])c(c1Cl)F)[O-])C([H])([H])c2c([H])c([H])nc([H])n2
ZINC001237624215,C[NH+](Cc1cncnc1)Cc2cc(Cl)cc(F)c2O,C([H])([H])([H])[N+]([H])(C([H])([H])c1c([H])c(c([H])c(c1O[H])F)Cl)C([H])([H])c2c([H])nc([H])nc2[H]
ZINC001237624215,CN(Cc1cncnc1)Cc2cc(Cl)cc(F)c2O,C([H])([H])([H])N(C([H])([H])c1c([H])c(c([H])c(c1O[H])F)Cl)C([H])([H])c2c([H])nc([H])nc2[H]
ZINC001237624215,CN(Cc1cncnc1)Cc2cc(Cl)cc(F)c2[O-],C([H])([H])([H])N(C([H])([H])c1c([H])c(c([H])c(c1[O-])F)Cl)C([H])([H])c2c([H])nc([H])nc2[H]
ZINC001237803908,C[NH+](Cc1ccncn1)Cc2cc(F)cc(Cl)c2O,C([H])([H])([H])[N+]([H])(C([H])([H])c1c([H])c(c([H])c(c1O[H])Cl)F)C([H])([H])c2c([H])c([H])nc([H])n2
ZINC001237803908,CN(Cc1ccncn1)Cc2cc(F)cc(Cl)c2O,C([H])([H])([H])N(C([H])([H])c1c([H])c(c([H])c(c1O[H])Cl)F)C([H])([H])c2c([H])c([H])nc([H])n2
ZINC001237803908,CN(Cc1ccncn1)Cc2cc(F)cc(Cl)c2[O-],C([H])([H])([H])N(C([H])([H])c1c([H])c(c([H])c(c1[O-])Cl)F)C([H])([H])c2c([H])c([H])nc([H])n2
ZINC001237950441,Oc1cc(Cl)c(F)cc1C[NH+]2CCC(=O)C(F)(F)C2,O=C1C([H])([H])C([H])([H])[N+]([H])(C([H])([H])C1(F)F)C([H])([H])c2c([H])c(c(c([H])c2O[H])Cl)F
ZINC001237950441,Oc1cc(Cl)c(F)cc1CN2CCC(=O)C(F)(F)C2,O=C1C([H])([H])C([H])([H])N(C([H])([H])C1(F)F)C([H])([H])c2c([H])c(c(c([H])c2O[H])Cl)F
ZINC001237950441,[O-]c1cc(Cl)c(F)cc1CN2CCC(=O)C(F)(F)C2,O=C1C([H])([H])C([H])([H])N(C([H])([H])C1(F)F)C([H])([H])c2c([H])c(c(c([H])c2[O-])Cl)F
ZINC000296181855,COc1cc(Cl)cc(C[NH+](C(C)C)C2COC2)c1O,C([H])([H])([H])Oc1c([H])c(c([H])c(c1O[H])C([H])([H])[N+]([H])(C2([H])C([H])([H])OC2([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])Cl
ZINC000296181855,COc1cc(Cl)cc(C[NH+](C(C)C)C2COC2)c1[O-],C([H])([H])([H])Oc1c([H])c(c([H])c(c1[O-])C([H])([H])[N+]([H])(C2([H])C([H])([H])OC2([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])Cl
ZINC000296181855,COc1cc(Cl)cc(CN(C(C)C)C2COC2)c1[O-],C([H])([H])([H])Oc1c([H])c(c([H])c(c1[O-])C([H])([H])N(C2([H])C([H])([H])OC2([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])Cl
ZINC000213194922,Cn1ccc(C[NH2+]Cc2cc(Cl)cc(Cl)c2[O-])n1,C([H])([H])([H])n1c([H])c([H])c(n1)C([H])([H])[N+]([H])([H])C([H])([H])c2c([H])c(c([H])c(c2[O-])Cl)Cl
ZINC000213194922,Cn1ccc(CNCc2cc(Cl)cc(Cl)c2[O-])n1,C([H])([H])([H])n1c([H])c([H])c(n1)C([H])([H])N([H])C([H])([H])c2c([H])c(c([H])c(c2[O-])Cl)Cl
ZINC000816546879,Cn1cc(NCc2cc(Cl)c(F)cc2[O-])cn1,C([H])([H])([H])n1c([H])c(c([H])n1)N([H])C([H])([H])c2c([H])c(c(c([H])c2[O-])F)Cl
