,D1,D2,D3,D4,A5,A6,A7,A8,A9,A10,+11,R12,R13,R14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,L29,L30
D1,0.0,2.7948259828738755,7.661151223033342,7.701109292165042,7.068463521453826,5.045148632558537,2.7948259828738755,7.3607314880799075,5.698767019106104,7.782802696600105,0.0,5.701734955750966,9.403651272713672,9.227506944260544,7.33042952570191,5.2782084404483145,8.499365143171248,9.519441822570302,10.42032716500052,10.416292892559605,9.510951438344662,8.172676645223792,9.500165588743625,10.509794806758233,10.362418098077013,9.174560425373489,7.974998903190351,6.775706001243278,9.403651272713672,9.227506944260544
D2,2.7948259828738755,0.0,10.163187959184636,9.918812611840297,9.678995304586781,7.677049305944555,0.0,9.556588000408924,7.640984717085422,9.4316435443879,2.7948259828738755,8.341199079680022,12.017127869693464,10.86001376895983,9.853641310262507,7.8703322348641125,11.002684980366631,12.043808828742694,13.043144524514624,13.100642256357322,12.168879407278833,9.909626138491534,11.302901514475295,12.222281312585164,11.89967673584416,10.597050643353686,9.495910584505657,8.11463190865824,12.017127869693464,10.86001376895983
D3,7.661151223033342,10.163187959184636,0.0,4.2193742018972005,2.379510719125809,4.136791722734806,10.163187959184636,2.6604040674981344,5.313544975203133,5.656327533648733,7.661151223033342,2.7723326300486244,2.8582683033946976,8.05294363048315,4.803157754621888,2.425761608656427,2.483840657949403,3.7692994153713997,4.264047517093591,3.757874064819437,2.4736871602652823,6.827626744163407,7.179259123579291,8.46207801375607,9.321546846201485,9.061767356413613,7.880398224813598,8.054152655911569,2.8582683033946976,8.05294363048315
D4,7.701109292165042,9.918812611840297,4.2193742018972005,0.0,5.99632812816154,6.576332476927664,9.918812611840297,2.318111818391459,2.4920040587467995,2.5609797807805363,7.701109292165042,5.571877657197826,3.728982861362074,3.8454358897011143,8.129431481898887,4.419924240435674,2.4602995202555427,2.868064821023737,4.241389779289685,5.058883860816495,4.853601788145787,2.683830556958571,3.002076018494458,4.303094212756207,5.12162753106271,4.946081712116073,3.8820856616912,4.514310625493816,3.728982861362074,3.8454358897011143
A5,7.068463521453826,9.678995304586781,2.379510719125809,5.99632812816154,0.0,2.378207869512091,9.678995304586781,4.737577303337264,6.5251830769775,7.5412797315545115,7.068463521453826,1.379275553067259,4.370316489886232,9.635576577022773,2.424702757784181,2.375397973120012,4.402555569614986,5.463264818331317,5.6145277824043935,4.77522641341625,3.5175708041832623,8.432317107584993,8.977946687589847,10.203376028276457,10.879509637415984,10.445643675438417,9.249193409675863,9.142223379882356,4.370316489886232,9.635576577022773
A6,5.045148632558537,7.677049305944555,4.136791722734806,6.576332476927664,2.378207869512091,0.0,7.677049305944555,5.6463699175614686,6.228128232617481,7.8776872768488335,5.045148632558537,1.3646269525157135,6.04056518028329,9.720817006204427,2.4284302780404152,2.3571511396042784,5.7644875307653916,6.819507981396537,7.187581876274873,6.611674243146331,5.528184041112751,8.526979661636341,9.381063444516114,10.561611890561704,10.957777440243147,10.250363171142762,9.018571636269,8.542618339183452,6.04056518028329,9.720817006204427
A7,2.7948259828738755,0.0,10.163187959184636,9.918812611840297,9.678995304586781,7.677049305944555,0.0,9.556588000408924,7.640984717085422,9.4316435443879,2.7948259828738755,8.341199079680022,12.017127869693464,10.86001376895983,9.853641310262507,7.8703322348641125,11.002684980366631,12.043808828742694,13.043144524514624,13.100642256357322,12.168879407278833,9.909626138491534,11.302901514475295,12.222281312585164,11.89967673584416,10.597050643353686,9.495910584505657,8.11463190865824,12.017127869693464,10.86001376895983
A8,7.3607314880799075,9.556588000408924,2.6604040674981344,2.318111818391459,4.737577303337264,5.6463699175614686,9.556588000408924,0.0,3.3797440806984373,3.0242010497158205,7.3607314880799075,4.456468877998474,3.670304506957655,5.922427766410835,7.067776423534168,3.3013312226228164,2.359646907231938,3.5850797806315384,4.76431673256552,5.026527145258295,4.253306392639628,4.615102246130896,5.019949002455032,6.394338921893861,7.260061657129058,6.990663831148844,5.767109015273271,6.0632341999206,3.670304506957655,5.922427766410835
A9,5.698767019106104,7.640984717085422,5.313544975203133,2.4920040587467995,6.5251830769775,6.228128232617481,7.640984717085422,3.3797440806984373,0.0,2.5422324827355127,5.698767019106104,5.607389677149779,5.784708982590698,3.9408789279945133,8.320969255706087,4.315759018927983,4.5012286925794935,5.183619150798233,6.474817739695661,7.105116795505623,6.641620934009144,2.646035475875322,3.8762664544098775,5.048687105440712,5.286573180106195,4.471095831930403,3.082460886505263,2.8318128867062264,5.784708982590698,3.9408789279945133
A10,7.782802696600105,9.4316435443879,5.656327533648733,2.5609797807805363,7.5412797315545115,7.8776872768488335,9.4316435443879,3.0242010497158205,2.5422324827355127,0.0,7.782802696600105,6.945884579750754,5.950695657788389,3.8382996243748457,9.709917978526484,5.611740342664304,4.579863249689064,5.185631408923848,6.57427051218592,7.325468723842425,6.924650614942794,2.5955915613116427,3.174415691069601,4.479503864926265,5.161220886995601,4.8242780889794945,3.6574012704169307,4.122497595975409,5.950695657788389,3.8382996243748457
