,D1,D2,D3,D4,A5,A6,A7,A8,+9,+10,R11,R12,R13,R14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29,L30,L31
D1,0.0,7.461582896240654,10.028297924343866,4.8577063876961395,2.3403696973145145,4.878428929560739,6.717298579516632,10.861476632892257,7.461582896240654,10.028297924343866,2.81668780595016,3.6872632846364644,6.204607164792554,10.334563041676287,5.728268860446702,4.222798884206314,2.399825980794347,2.4713868111259276,3.7305067005725627,2.4100102540794794,2.9300266200021086,4.279088265702458,5.039149100592947,4.738828070804168,3.5750588623782273,7.225166060299149,8.956444712478856,11.309068420937901,9.990426161480274,2.81668780595016,3.6872632846364644
D2,7.461582896240654,0.0,3.048323189931044,12.043091519131043,6.981215862412341,11.091538053515157,13.387276575477292,17.449924314607873,0.0,3.048323189931044,10.267595900980421,3.775418921998477,12.413511595832185,16.60574223694816,13.173968558422112,11.672895224514011,9.710169194789774,9.57729112889978,10.968418056382182,5.110319937479852,4.822665397667469,3.6561490795867635,2.5042277343065105,3.0336663058921016,4.366513776505699,12.864265855490487,15.191818827431339,17.25116943626549,15.855876614451041,10.267595900980421,3.775418921998477
D3,10.028297924343866,3.048323189931044,0.0,14.615600892096761,9.377416183885058,13.704274023676115,15.971865669865792,20.04930625716634,3.048323189931044,0.0,12.775194025192954,6.463615464397658,15.007211080807398,19.15597853085298,15.644671949658994,14.161720844387878,12.281947072806105,12.008923964263536,13.388740315805395,7.710238284642196,7.251359157521768,6.075604371731814,5.287175825521621,5.913618490878681,7.110610696693185,15.432028403054492,17.75222897673565,19.732654060176195,18.341749789442147,12.775194025192954,6.463615464397658
D4,4.8577063876961395,12.043091519131043,14.615600892096761,0.0,6.727543538000162,2.3934946375203956,2.3040280998590204,6.183528658988582,12.043091519131043,14.615600892096761,2.829098251272585,8.33695485890285,2.7198363862180024,5.903721524003006,2.9119456858785573,2.439549475137764,2.459564689243661,4.2330974854097505,3.72154761904473,7.2143133066105145,7.368392296296611,8.583017851153183,9.541282212986742,9.406890561088728,8.321924314963525,4.106381194898007,4.691240411564792,7.0759566809654935,5.95782944441214,2.829098251272585,8.33695485890285
A5,2.3403696973145145,6.981215862412341,9.377416183885058,6.727543538000162,0.0,7.132846618612446,8.796381677574308,12.853813313268413,6.981215862412341,9.377416183885058,4.105283957494039,3.619812357740849,8.42345627631633,12.453892406467066,6.734574210218299,5.353101092548616,4.364653091588809,2.9479898324469764,4.290865094459348,2.330670932008826,3.5017542736602807,4.676906878429097,4.97821746964221,4.2214199597889,2.864671897228266,9.5004647045573,11.109257954557696,13.500704627620099,12.214343057497429,4.105283957494039,3.619812357740849
A6,4.878428929560739,11.091538053515157,13.704274023676115,2.3934946375203956,7.132846618612446,0.0,2.356603848612744,6.365969461086909,11.091538053515157,13.704274023676115,4.198175021851966,7.651274745829842,1.370796102870947,5.610928475556281,5.2698725624041,4.4867518107832485,3.0444453252478936,5.428427936980067,5.468574018899979,6.836797221017092,6.696137920573875,7.65228527098846,8.624154901872222,8.71924232926565,7.903933661346462,2.3914253218275165,4.195548889094938,6.489358134025609,5.1476333105602725,4.198175021851966,7.651274745829842
A7,6.717298579516632,13.387276575477292,15.971865669865792,2.3040280998590204,8.796381677574308,2.356603848612744,0.0,4.177540076900088,13.387276575477292,15.971865669865792,5.099530218694217,9.853012584158432,1.3583863903084643,3.6689121949418424,4.7707458074716715,4.69134084601958,4.445362585838347,6.497441022539545,6.016507678084456,8.910809247977955,8.860457814571877,9.904374311502501,10.901112083849373,10.927081838851944,10.000390728316281,2.3815442418870925,2.3933767750885466,4.797382998731153,3.6680031920014615,5.099530218694217,9.853012584158432
A8,10.861476632892257,17.449924314607873,20.04930625716634,6.183528658988582,12.853813313268413,6.365969461086909,4.177540076900088,0.0,17.449924314607873,20.04930625716634,8.96945071886887,13.985399071068771,5.04947009126579,1.4014474981487945,7.6207873460327304,8.188667374883837,8.54291128581326,10.359504986427694,9.589318983332138,13.064799251132317,13.014625945596059,14.006048138156443,14.987077248464335,15.016015486095743,14.105855689846987,4.924441505955227,2.4486283200253713,2.403493557127041,2.790644262884899,8.96945071886887,13.985399071068771
+9,7.461582896240654,0.0,3.048323189931044,12.043091519131043,6.981215862412341,11.091538053515157,13.387276575477292,17.449924314607873,0.0,3.048323189931044,10.267595900980421,3.775418921998477,12.413511595832185,16.60574223694816,13.173968558422112,11.672895224514011,9.710169194789774,9.57729112889978,10.968418056382182,5.110319937479852,4.822665397667469,3.6561490795867635,2.5042277343065105,3.0336663058921016,4.366513776505699,12.864265855490487,15.191818827431339,17.25116943626549,15.855876614451041,10.267595900980421,3.775418921998477
+10,10.028297924343866,3.048323189931044,0.0,14.615600892096761,9.377416183885058,13.704274023676115,15.971865669865792,20.04930625716634,3.048323189931044,0.0,12.775194025192954,6.463615464397658,15.007211080807398,19.15597853085298,15.644671949658994,14.161720844387878,12.281947072806105,12.008923964263536,13.388740315805395,7.710238284642196,7.251359157521768,6.075604371731814,5.287175825521621,5.913618490878681,7.110610696693185,15.432028403054492,17.75222897673565,19.732654060176195,18.341749789442147,12.775194025192954,6.463615464397658
R11,2.81668780595016,10.267595900980421,12.775194025192954,2.829098251272585,4.105283957494039,4.198175021851966,5.099530218694217,8.96945071886887,10.267595900980421,12.775194025192954,0.0,6.4975385398300105,5.161759743294816,8.730585482499974,2.911632711103925,1.4065260359566472,1.378591866055849,1.4040746910177775,1.3871690972368187,5.175262701699353,5.6708488960498595,7.036978877489203,7.855759509092655,7.489351561611956,6.229177703420385,6.481507846464647,7.492192666339069,9.887633372203048,8.722570464000437,0.0,6.4975385398300105
R12,3.6872632846364644,3.775418921998477,6.463615464397658,8.33695485890285,3.619812357740849,7.651274745829842,9.853012584158432,13.985399071068771,3.775418921998477,6.463615464397658,6.4975385398300105,0.0,9.014268146683756,13.255877736576496,9.407072818086588,7.903803440311157,5.958580905129049,5.884571008088382,7.260209686924624,1.3997071907180447,1.399051631154426,1.3970701442440532,1.4090238820612795,1.3940157403371314,1.4006929628801759,9.679159564529924,11.837177158451576,14.03937390912501,12.65440756996548,6.4975385398300105,0.0
R13,6.204607164792554,12.413511595832185,15.007211080807398,2.7198363862180024,8.42345627631633,1.370796102870947,1.3583863903084643,5.04947009126579,12.413511595832185,15.007211080807398,5.161759743294816,9.014268146683756,0.0,4.242966761584141,5.557768185504813,5.122282338674598,4.191242253360585,6.49105820356187,6.298701501546117,8.20633993361832,8.045800354972888,8.97559271570169,9.960801365157065,10.076566231525588,9.268556902033918,1.3870361952525192,2.825923431723288,5.1327588147697565,3.8115366270282145,5.161759743294816,9.014268146683756
R14,10.334563041676287,16.60574223694816,19.15597853085298,5.903721524003006,12.453892406467066,5.610928475556281,3.6689121949418424,1.4014474981487945,16.60574223694816,19.15597853085298,8.730585482499974,13.255877736576496,4.242966761584141,0.0,7.811613674269469,8.139381575464068,8.109728185111585,10.1335720928157,9.52435551903466,12.43191919271,12.261912679357271,13.168735641103254,14.176696278342463,14.309902588594145,13.490512288959131,3.842156825049103,1.419559600464205,1.3855111458083842,1.3892158198928317,8.730585482499974,13.255877736576496
H15,5.728268860446702,13.173968558422112,15.644671949658994,2.9119456858785573,6.734574210218299,5.2698725624041,4.7707458074716715,7.6207873460327304,13.173968558422112,15.644671949658994,2.911632711103925,9.407072818086588,5.557768185504813,7.811613674269469,0.0,1.5059209126765696,3.8146191616156413,3.7967739776700946,2.4992295663761936,8.072374618081582,8.557428306417206,9.923343225890118,10.767340796264033,10.369720078145578,9.076603955714223,6.922522839330545,6.904603737572992,9.110387315891858,8.244105747867021,2.911632711103925,9.407072818086588
H16,4.222798884206314,11.672895224514011,14.161720844387878,2.439549475137764,5.353101092548616,4.4867518107832485,4.69134084601958,8.188667374883837,11.672895224514011,14.161720844387878,1.4065260359566472,7.903803440311157,5.122282338674598,8.139381575464068,1.5059209126765696,0.0,2.411385502687699,2.43887049063656,1.405625891526855,6.576212251380188,7.060262992915724,8.425599269755972,9.26170363661245,8.881838162201015,7.604521353953598,6.505338439029377,7.033531633401947,9.375887383048358,8.336041134894794,1.4065260359566472,7.903803440311157
H17,2.399825980794347,9.710169194789774,12.281947072806105,2.459564689243661,4.364653091588809,3.0444453252478936,4.445362585838347,8.54291128581326,9.710169194789774,12.281947072806105,1.378591866055849,5.958580905129049,4.191242253360585,8.109728185111585,3.8146191616156413,2.411385502687699,0.0,2.4057340971261696,2.7657425850272306,4.777568726546195,5.041653469828412,6.326549065614815,7.226736485637109,7.028736075250261,5.906734400514532,5.416721772266511,6.778793457774948,9.169582947981851,7.915395158056989,1.378591866055849,5.958580905129049
H18,2.4713868111259276,9.57729112889978,12.008923964263536,4.2330974854097505,2.9479898324469764,5.428427936980067,6.497441022539545,10.359504986427694,9.57729112889978,12.008923964263536,1.4040746910177775,5.884571008088382,6.49105820356187,10.1335720928157,3.7967739776700946,2.43887049063656,2.4057340971261696,0.0,1.3953342946673666,4.493731734828183,5.2112920107373295,6.597156456758038,7.2881280959953445,6.777267516867388,5.441151215595187,7.773421219648178,8.88851208410453,11.28659209830058,10.10836335055932,1.4040746910177775,5.884571008088382
H19,3.7305067005725627,10.968418056382182,13.388740315805395,3.72154761904473,4.290865094459348,5.468574018899979,6.016507678084456,9.589318983332138,10.968418056382182,13.388740315805395,1.3871690972368187,7.260209686924624,6.298701501546117,9.52435551903466,2.4992295663761936,1.405625891526855,2.7657425850272306,1.3953342946673666,0.0,5.875484664291786,6.533539874589443,7.924700727826533,8.659044316827064,8.157700329534558,6.818086221054965,7.659191686573404,8.385826709668782,10.747601961233801,9.672047983116846,1.3871690972368187,7.260209686924624
