Index,Name,Formula,MW,HeavyAtoms,RotatableBonds,HBD,HBA,TPSA,LogP,TotalFeatures,n_Donor,n_Acceptor,n_Aromatic,n_Hydrophobe,n_PosIonizable,n_NegIonizable,n_LumpedHydrophobe
0,ZINC000000407042,C8H7ClO3,186.59,12,3,2,3,57.53,1.67,14,2,3,1,6,0,1,1
1,ZINC000238647610,C7H4ClFO3,190.56,12,2,2,3,57.53,1.88,13,2,4,1,4,0,1,1
2,ZINC000005459729,C6H11NO2S2,193.29,11,5,2,4,49.33,1.09,8,2,2,0,3,0,1,0
3,ZINC000071774281,C6H11NO2S2,193.29,11,5,2,4,49.33,1.09,8,2,2,0,3,0,1,0
4,ZINC000002168364,C7H11O3P,174.14,11,5,3,3,60.69,0.66,15,3,3,1,7,0,0,1
5,ZINC000002573720,C9H11O3P,198.16,13,4,3,3,60.69,1.23,17,3,3,1,9,0,0,1
6,ZINC000013541707,C7H4F2O3,174.1,12,2,2,3,57.53,1.37,13,2,5,1,3,0,1,1
7,ZINC000035269900,C7H4ClN3O2,197.58,13,1,2,5,74.05,0.45,7,2,2,0,2,0,1,0
8,ZINC000002539969,C7H4F2O3,174.1,12,2,2,3,57.53,1.37,13,2,5,1,3,0,1,1
9,ZINC000002526729,C7H4F2O3,174.1,12,2,2,3,57.53,1.37,13,2,5,1,3,0,1,1
10,ZINC000034781181,C7H4F2O3,174.1,12,2,2,3,57.53,1.37,13,2,5,1,3,0,1,1
11,ZINC000002530713,C7H5ClO3,172.57,11,2,2,3,57.53,1.74,13,2,3,1,5,0,1,1
12,ZINC000002379552,C7H4F2O3,174.1,12,2,2,3,57.53,1.37,13,2,5,1,3,0,1,1
13,ZINC000039128256,C6H4ClNO3,173.56,11,2,2,4,70.42,1.14,10,2,4,1,2,0,1,0
14,ZINC000071475078,C9H11N3O2,193.21,14,4,2,4,64.93,0.68,10,2,2,0,5,0,0,1
15,ZINC000095831395,C7H4F2O3,174.1,12,3,2,3,57.53,1.19,11,2,5,1,2,0,0,1
16,ZINC000196158025,C7H5ClO3,172.57,11,3,2,3,57.53,1.56,11,2,3,1,4,0,0,1
17,ZINC000002310128,C7H17O4P,196.18,12,9,3,4,77.76,0.83,14,3,4,0,6,0,1,0
18,ZINC000001671967,C10H10O4,194.19,14,5,2,4,74.6,1.44,16,2,4,1,7,0,1,1
19,ZINC000141170010,C10H14O3,182.22,13,5,1,3,54.37,1.92,11,1,3,0,7,0,0,0
20,ZINC000141166899,C11H16O3,196.25,14,2,1,3,54.37,2.17,13,1,3,0,8,0,0,1
21,ZINC000002279015,C6H11O3P,162.13,10,5,2,3,53.6,0.58,9,2,2,1,4,0,0,0
22,ZINC000002242717,C7H5FO2,140.11,10,2,1,2,37.3,1.34,10,1,3,1,4,0,0,1
23,ZINC000019844543,C9H12N2O2,180.21,13,5,2,4,62.22,1.6,12,2,3,1,5,0,1,0
24,ZINC000002526741,C6H6ClNO,143.57,9,2,1,2,33.12,1.75,7,1,2,1,3,0,0,0
25,ZINC000002786193,C8H8N4,160.18,12,2,1,3,54.46,1.18,16,3,3,2,7,0,0,1
