,ZINC000000407042,ZINC000238647610,ZINC000005459729,ZINC000071774281,ZINC000002168364,ZINC000002573720,ZINC000013541707,ZINC000035269900,ZINC000002539969,ZINC000002526729,ZINC000034781181,ZINC000002530713,ZINC000002379552,ZINC000039128256,ZINC000071475078,ZINC000095831395,ZINC000196158025,ZINC000002310128,ZINC000001671967,ZINC000141170010,ZINC000141166899,ZINC000002279015,ZINC000002242717,ZINC000019844543,ZINC000002526741,ZINC000002786193
ZINC000000407042,1.0,0.26666666666666666,0.017699115044247787,0.07692307692307693,0.3473684210526316,0.2185430463576159,0.25,0.005305039787798408,0.23076923076923078,0.21818181818181817,0.21301775147928995,0.3185840707964602,0.21818181818181817,0.23129251700680273,0.009174311926605505,0.14925373134328357,0.18867924528301888,0.017857142857142856,0.1901840490797546,0.0,0.0,0.18181818181818182,0.19230769230769232,0.17532467532467533,0.16666666666666666,0.21935483870967742
ZINC000238647610,0.26666666666666666,1.0,0.08943089430894309,0.056451612903225805,0.16666666666666666,0.11538461538461539,0.9134615384615384,0.036458333333333336,0.6614173228346457,0.76,0.6,0.5700934579439252,0.76,0.5151515151515151,0.02575107296137339,0.36220472440944884,0.25,0.05555555555555555,0.2529411764705882,0.0,0.0,0.15254237288135594,0.3119266055045872,0.30718954248366015,0.19230769230769232,0.2023121387283237
ZINC000005459729,0.017699115044247787,0.08943089430894309,1.0,0.08695652173913043,0.04597701149425287,0.027972027972027972,0.0916030534351145,0.042682926829268296,0.06164383561643835,0.10810810810810811,0.07692307692307693,0.01818181818181818,0.10810810810810811,0.08270676691729323,0.03977272727272727,0.035398230088495575,0.047058823529411764,0.02666666666666667,0.026143790849673203,0.0425531914893617,0.03278688524590164,0.02564102564102564,0.023529411764705882,0.02127659574468085,0.0,0.020134228187919462
ZINC000071774281,0.07692307692307693,0.056451612903225805,0.08695652173913043,1.0,0.047619047619047616,0.02857142857142857,0.05263157894736842,0.052795031055900624,0.07801418439716312,0.045454545454545456,0.07142857142857142,0.11224489795918367,0.045454545454545456,0.014388489208633094,0.034482758620689655,0.017857142857142856,0.0,0.1746031746031746,0.047619047619047616,0.0,0.0,0.08450704225352113,0.012048192771084338,0.13709677419354838,0.0,0.02054794520547945
ZINC000002168364,0.3473684210526316,0.16666666666666666,0.04597701149425287,0.047619047619047616,1.0,0.48148148148148145,0.15555555555555556,0.0056657223796034,0.14285714285714285,0.1346153846153846,0.13125,0.20192307692307693,0.1346153846153846,0.15441176470588236,0.010309278350515464,0.08333333333333333,0.10869565217391304,0.034482758620689655,0.12582781456953643,0.0,0.0,0.36764705882352944,0.1111111111111111,0.1056338028169014,0.0945945945945946,0.18705035971223022
ZINC000002573720,0.2185430463576159,0.11538461538461539,0.027972027972027972,0.02857142857142857,0.48148148148148145,1.0,0.1099476439790576,0.02493765586034913,0.10344827586206896,0.09905660377358491,0.09722222222222222,0.13125,0.09905660377358491,0.109375,0.02857142857142857,0.056818181818181816,0.06756756756756757,0.02097902097902098,0.09178743961352658,0.008547008547008548,0.007633587786259542,0.20161290322580644,0.0684931506849315,0.07575757575757576,0.05384615384615385,0.13333333333333333
ZINC000013541707,0.25,0.9134615384615384,0.0916030534351145,0.05263157894736842,0.15555555555555556,0.1099476439790576,1.0,0.03826530612244898,0.71875,0.7751937984496124,0.6293706293706294,0.5258620689655172,0.7751937984496124,0.48226950354609927,0.03765690376569038,0.4108527131782946,0.2727272727272727,0.05185185185185185,0.24022346368715083,0.008849557522123894,0.007874015748031496,0.14173228346456693,0.3333333333333333,0.29012345679012347,0.17699115044247787,0.19230769230769232
ZINC000035269900,0.005305039787798408,0.036458333333333336,0.042682926829268296,0.052795031055900624,0.0056657223796034,0.02493765586034913,0.03826530612244898,1.0,0.0475,0.03631961259079903,0.04600484261501211,0.030136986301369864,0.03631961259079903,0.043478260869565216,0.22131147540983606,0.01871657754010695,0.008571428571428572,0.03333333333333333,0.021844660194174758,0.016233766233766232,0.015527950310559006,0.01775147928994083,0.011527377521613832,0.04884318766066838,0.012195121951219513,0.012165450121654502
ZINC000002539969,0.23076923076923078,0.6614173228346457,0.06164383561643835,0.07801418439716312,0.14285714285714285,0.10344827586206896,0.71875,0.0475,1.0,0.6506849315068494,0.7883211678832117,0.6293103448275862,0.6506849315068494,0.37267080745341613,0.04,0.4264705882352941,0.296875,0.07692307692307693,0.225130890052356,0.016129032258064516,0.014492753623188406,0.12949640287769784,0.3442622950819672,0.3393939393939394,0.16,0.18041237113402062
ZINC000002526729,0.21818181818181817,0.76,0.10810810810810811,0.045454545454545456,0.1346153846153846,0.09905660377358491,0.7751937984496124,0.03631961259079903,0.6506849315068494,1.0,0.7278911564625851,0.44525547445255476,0.937984496124031,0.41975308641975306,0.04263565891472868,0.460431654676259,0.32575757575757575,0.04487179487179487,0.215,0.015037593984962405,0.013605442176870748,0.12162162162162163,0.373015873015873,0.2568306010928962,0.14925373134328357,0.1724137931034483
ZINC000034781181,0.21301775147928995,0.6,0.07692307692307693,0.07142857142857142,0.13125,0.09722222222222222,0.6293706293706294,0.04600484261501211,0.7883211678832117,0.7278911564625851,1.0,0.5658914728682171,0.7638888888888888,0.3448275862068966,0.06640625,0.4375,0.30656934306569344,0.07051282051282051,0.2107843137254902,0.014598540145985401,0.013245033112582781,0.11842105263157894,0.3409090909090909,0.3146067415730337,0.14492753623188406,0.16908212560386474
ZINC000002530713,0.3185840707964602,0.5700934579439252,0.01818181818181818,0.11224489795918367,0.20192307692307693,0.13125,0.5258620689655172,0.030136986301369864,0.6293103448275862,0.44525547445255476,0.5658914728682171,1.0,0.44525547445255476,0.29927007299270075,0.02358490566037736,0.23770491803278687,0.21782178217821782,0.11,0.23225806451612904,0.0,0.0,0.1875,0.2736842105263158,0.45901639344262296,0.1724137931034483,0.23178807947019867
ZINC000002379552,0.21818181818181817,0.76,0.10810810810810811,0.045454545454545456,0.1346153846153846,0.09905660377358491,0.7751937984496124,0.03631961259079903,0.6506849315068494,0.937984496124031,0.7638888888888888,0.44525547445255476,1.0,0.41975308641975306,0.05078125,0.460431654676259,0.32575757575757575,0.04487179487179487,0.215,0.015037593984962405,0.013605442176870748,0.12162162162162163,0.36220472440944884,0.2568306010928962,0.14925373134328357,0.1724137931034483
ZINC000039128256,0.23129251700680273,0.5151515151515151,0.08270676691729323,0.014388489208633094,0.15441176470588236,0.109375,0.48226950354609927,0.043478260869565216,0.37267080745341613,0.41975308641975306,0.3448275862068966,0.29927007299270075,0.41975308641975306,1.0,0.024691358024691357,0.22818791946308725,0.2109375,0.014184397163120567,0.1736842105263158,0.0,0.0,0.08955223880597014,0.21428571428571427,0.1864406779661017,0.2761904761904762,0.1978021978021978
